REGIONE_VISITATA,ALLOGGIO_PRINC_08,Totale
ABRUZZO,CASA PARENTI/AMICI,5368
ABRUZZO,ALBERGO/VILLAGGIO,3240
ABRUZZO,CASA DI PROPRIETA',1848
ABRUZZO,AFFITTO CASA,1169
ABRUZZO,BED & BREAKFAST,503
BASILICATA,CASA PARENTI/AMICI,704
BASILICATA,ALBERGO/VILLAGGIO,684
BASILICATA,AFFITTO CASA,187
BASILICATA,CASA DI PROPRIETA',158
BASILICATA,BED & BREAKFAST,92
CALABRIA,CASA PARENTI/AMICI,2190
CALABRIA,ALBERGO/VILLAGGIO,1015
CALABRIA,AFFITTO CASA,600
CALABRIA,CASA DI PROPRIETA',515
CALABRIA,CAMPING,149
CAMPANIA,ALBERGO/VILLAGGIO,32297
CAMPANIA,CASA PARENTI/AMICI,9641
CAMPANIA,AFFITTO CASA,4238
CAMPANIA,OSTELLO,2300
CAMPANIA,BED & BREAKFAST,2002
EMILIA-ROMAGNA,ALBERGO/VILLAGGIO,31122
EMILIA-ROMAGNA,CASA PARENTI/AMICI,10971
EMILIA-ROMAGNA,AFFITTO CASA,4960
EMILIA-ROMAGNA,ALTRO,4327
EMILIA-ROMAGNA,CAMPING,1529
FRIULI VENEZIA GIULIA,NESSUN PERNOTTAMENTO,31705
FRIULI VENEZIA GIULIA,ALBERGO/VILLAGGIO,8787
FRIULI VENEZIA GIULIA,CASA PARENTI/AMICI,4918
FRIULI VENEZIA GIULIA,AFFITTO CASA,2051
FRIULI VENEZIA GIULIA,ALTRO,1808
LAZIO,ALBERGO/VILLAGGIO,122006
LAZIO,CASA PARENTI/AMICI,24507
LAZIO,NESSUN PERNOTTAMENTO,17362
LAZIO,AFFITTO CASA,15337
LAZIO,OSTELLO,10197
LIGURIA,ALBERGO/VILLAGGIO,17953
LIGURIA,NESSUN PERNOTTAMENTO,14424
LIGURIA,CASA PARENTI/AMICI,6616
LIGURIA,AFFITTO CASA,3520
LIGURIA,BED & BREAKFAST,1974
LOMBARDIA,ALBERGO/VILLAGGIO,98426
LOMBARDIA,NESSUN PERNOTTAMENTO,48598
LOMBARDIA,CASA PARENTI/AMICI,33494
LOMBARDIA,AFFITTO CASA,11646
LOMBARDIA,ALTRO,7485
MARCHE,ALBERGO/VILLAGGIO,5422
MARCHE,CASA PARENTI/AMICI,4604
MARCHE,NESSUN PERNOTTAMENTO,2475
MARCHE,AFFITTO CASA,1667
MARCHE,CASA DI PROPRIETA',1364
MOLISE,CASA PARENTI/AMICI,658
MOLISE,CASA DI PROPRIETA',247
MOLISE,ALBERGO/VILLAGGIO,240
MOLISE,AFFITTO CASA,94
MOLISE,BED & BREAKFAST,79
PIEMONTE,ALBERGO/VILLAGGIO,25054
PIEMONTE,CASA PARENTI/AMICI,13362
PIEMONTE,AFFITTO CASA,3128
PIEMONTE,NESSUN PERNOTTAMENTO,2960
PIEMONTE,ALTRO,1987
PUGLIA,ALBERGO/VILLAGGIO,6440
PUGLIA,CASA PARENTI/AMICI,6362
PUGLIA,AFFITTO CASA,2254
PUGLIA,CASA DI PROPRIETA',1253
PUGLIA,BED & BREAKFAST,1212
SARDEGNA,ALBERGO/VILLAGGIO,12883
SARDEGNA,AFFITTO CASA,5125
SARDEGNA,CASA PARENTI/AMICI,4741
SARDEGNA,BED & BREAKFAST,3293
SARDEGNA,CAMPING,1768
SICILIA,ALBERGO/VILLAGGIO,24467
SICILIA,CASA PARENTI/AMICI,7607
SICILIA,BED & BREAKFAST,5069
SICILIA,AFFITTO CASA,4448
SICILIA,CASA DI PROPRIETA',2065
TOSCANA,ALBERGO/VILLAGGIO,94470
TOSCANA,AFFITTO CASA,20864
TOSCANA,CASA PARENTI/AMICI,17985
TOSCANA,OSTELLO,7102
TOSCANA,BED & BREAKFAST,6706
TRENTINO ALTO ADIGE,ALBERGO/VILLAGGIO,14660
TRENTINO ALTO ADIGE,CASA PARENTI/AMICI,4032
TRENTINO ALTO ADIGE,NESSUN PERNOTTAMENTO,2766
TRENTINO ALTO ADIGE,AFFITTO CASA,2699
TRENTINO ALTO ADIGE,ALTRO,2515
UMBRIA,ALBERGO/VILLAGGIO,4926
UMBRIA,CASA PARENTI/AMICI,2287
UMBRIA,AFFITTO CASA,2267
UMBRIA,BED & BREAKFAST,501
UMBRIA,AGRITURISMO,484
VALLE D'AOSTA,ALBERGO/VILLAGGIO,4013
VALLE D'AOSTA,NESSUN PERNOTTAMENTO,2427
VALLE D'AOSTA,CASA PARENTI/AMICI,1237
VALLE D'AOSTA,AFFITTO CASA,577
VALLE D'AOSTA,CASA DI PROPRIETA',422
VENETO,ALBERGO/VILLAGGIO,106025
VENETO,CASA PARENTI/AMICI,16103
VENETO,AFFITTO CASA,13265
VENETO,CAMPING,10570
VENETO,BED & BREAKFAST,6473
