REGIONE_VISITATA,FLAG_LOCALITA,Totale
VENETO,STRADA,54841
VENETO,PORTO,6864
VENETO,FERROVIA,9325
VENETO,AEROPORTO,108425
VALLE D'AOSTA,STRADA,8139
VALLE D'AOSTA,PORTO,79
VALLE D'AOSTA,FERROVIA,134
VALLE D'AOSTA,AEROPORTO,1434
UMBRIA,FERROVIA,395
UMBRIA,AEROPORTO,8766
UMBRIA,STRADA,2402
UMBRIA,PORTO,746
TRENTINO ALTO ADIGE,STRADA,21640
TRENTINO ALTO ADIGE,PORTO,476
TRENTINO ALTO ADIGE,FERROVIA,4591
TRENTINO ALTO ADIGE,AEROPORTO,4722
TOSCANA,PORTO,11768
TOSCANA,AEROPORTO,125723
TOSCANA,FERROVIA,6950
TOSCANA,STRADA,22905
SICILIA,STRADA,1972
SICILIA,PORTO,1087
SICILIA,FERROVIA,724
SICILIA,AEROPORTO,43880
SARDEGNA,AEROPORTO,27945
SARDEGNA,STRADA,2613
SARDEGNA,PORTO,553
SARDEGNA,FERROVIA,220
PUGLIA,FERROVIA,749
PUGLIA,AEROPORTO,13497
PUGLIA,STRADA,3407
PUGLIA,PORTO,3899
PIEMONTE,STRADA,14948
PIEMONTE,PORTO,825
PIEMONTE,FERROVIA,4992
PIEMONTE,AEROPORTO,30342
MOLISE,STRADA,201
MOLISE,FERROVIA,37
MOLISE,PORTO,136
MOLISE,AEROPORTO,1048
MARCHE,STRADA,3026
MARCHE,PORTO,5120
MARCHE,FERROVIA,367
MARCHE,AEROPORTO,10644
LOMBARDIA,STRADA,70572
LOMBARDIA,PORTO,2988
LOMBARDIA,FERROVIA,18715
LOMBARDIA,AEROPORTO,122267
LIGURIA,FERROVIA,3793
LIGURIA,AEROPORTO,19138
LIGURIA,STRADA,26847
LIGURIA,PORTO,2701
LAZIO,STRADA,8165
LAZIO,PORTO,10282
LAZIO,FERROVIA,5390
LAZIO,AEROPORTO,186648
FRIULI VENEZIA GIULIA,FERROVIA,1183
FRIULI VENEZIA GIULIA,AEROPORTO,8092
FRIULI VENEZIA GIULIA,PORTO,824
FRIULI VENEZIA GIULIA,STRADA,42963
EMILIA-ROMAGNA,STRADA,15824
EMILIA-ROMAGNA,PORTO,2866
EMILIA-ROMAGNA,FERROVIA,2536
EMILIA-ROMAGNA,AEROPORTO,37297
CAMPANIA,AEROPORTO,46060
CAMPANIA,STRADA,3791
CAMPANIA,PORTO,4888
CAMPANIA,FERROVIA,1474
CALABRIA,STRADA,1177
CALABRIA,PORTO,481
CALABRIA,FERROVIA,221
CALABRIA,AEROPORTO,3080
BASILICATA,PORTO,216
BASILICATA,FERROVIA,36
BASILICATA,AEROPORTO,1522
BASILICATA,STRADA,260
ABRUZZO,PORTO,1005
ABRUZZO,FERROVIA,184
ABRUZZO,STRADA,1580
ABRUZZO,AEROPORTO,10424
