DATA,STAGIONE,ANNO,STATO_RESIDENZA,Totale
200501,INVERNO,2005,ARGENTINA,1534.69463415
200501,INVERNO,2005,AUSTRALIA,2614.31742105
200501,INVERNO,2005,AUSTRIA,1076.71779141
200501,INVERNO,2005,BELGIO,1010.33948905
200501,INVERNO,2005,BRASILE,3000.67041176
200501,INVERNO,2005,CANADA,2095.03142529
200501,INVERNO,2005,"CECA, REPUBBLICA",935.223692308
200501,INVERNO,2005,CINA REP.POP.,2135.8
200501,INVERNO,2005,DANIMARCA,745.315294118
200501,INVERNO,2005,FINLANDIA,2015.47826087
200501,INVERNO,2005,FRANCIA,784.963076696
200501,INVERNO,2005,GERMANIA,1046.87886595
200501,INVERNO,2005,GIAPPONE,1287.62407368
200501,INVERNO,2005,GRECIA,901.490566038
200501,INVERNO,2005,INDIA,685.436783784
200501,INVERNO,2005,IRLANDA,1328.84745763
200501,INVERNO,2005,MESSICO,1623.05227273
200501,INVERNO,2005,NORVEGIA,1843.44645614
200501,INVERNO,2005,OLANDA,953.738562092
200501,INVERNO,2005,POLONIA,1447.08108108
200501,INVERNO,2005,PORTOGALLO,1310.14634146
200501,INVERNO,2005,REGNO UNITO,1007.94124844
200501,INVERNO,2005,ROMANIA,1692.25510204
200501,INVERNO,2005,RUSSIA,1583.06060606
200501,INVERNO,2005,"SLOVACCA, REPUBBLICA",1486.16666667
200501,INVERNO,2005,SLOVENIA,129.064102564
200501,INVERNO,2005,SPAGNA,1096.13540116
200501,INVERNO,2005,STATI UNITI D'AMERICA,2687.27550736
200501,INVERNO,2005,SVEZIA,1027.74660185
200501,INVERNO,2005,SVIZZERA,392.820781499
200501,INVERNO,2005,UNGHERIA,1020.28571429
200502,INVERNO,2005,ARGENTINA,2093.24846154
200502,INVERNO,2005,AUSTRALIA,2847.49144737
200502,INVERNO,2005,AUSTRIA,1060.49302469
200502,INVERNO,2005,BELGIO,1166.49214815
200502,INVERNO,2005,BRASILE,3356.80717391
200502,INVERNO,2005,CANADA,2080.84792424
200502,INVERNO,2005,"CECA, REPUBBLICA",1007.10146809
200502,INVERNO,2005,CINA REP.POP.,3259.20516129
200502,INVERNO,2005,DANIMARCA,1024.38113208
200502,INVERNO,2005,FINLANDIA,2394.03423077
200502,INVERNO,2005,FRANCIA,777.904414414
200502,INVERNO,2005,GERMANIA,977.908577389
200502,INVERNO,2005,GIAPPONE,1459.45912676
200502,INVERNO,2005,GRECIA,1076.25864865
200502,INVERNO,2005,INDIA,520.38224
200502,INVERNO,2005,IRLANDA,1189.12142857
200502,INVERNO,2005,MESSICO,1858.3325
200502,INVERNO,2005,NORVEGIA,2223.26
200502,INVERNO,2005,OLANDA,1169.02413793
200502,INVERNO,2005,POLONIA,1298.54328889
200502,INVERNO,2005,PORTOGALLO,1302.33095238
200502,INVERNO,2005,REGNO UNITO,1138.11075063
200502,INVERNO,2005,ROMANIA,1858.17785714
200502,INVERNO,2005,RUSSIA,1478.34451613
200502,INVERNO,2005,"SLOVACCA, REPUBBLICA",1514.97111111
200502,INVERNO,2005,SLOVENIA,141.300916058
200502,INVERNO,2005,SPAGNA,1204.68928065
200502,INVERNO,2005,STATI UNITI D'AMERICA,3105.6871392
200502,INVERNO,2005,SVEZIA,1487.31388462
200502,INVERNO,2005,SVIZZERA,328.163418182
200502,INVERNO,2005,UNGHERIA,976.536363636
200503,PRIMAVERA,2005,ARGENTINA,2189.01086957
200503,PRIMAVERA,2005,AUSTRALIA,3249.58169492
200503,PRIMAVERA,2005,AUSTRIA,1175.12822857
200503,PRIMAVERA,2005,BELGIO,1170.75965812
200503,PRIMAVERA,2005,BRASILE,2865.2715493
200503,PRIMAVERA,2005,CANADA,1786.98903846
200503,PRIMAVERA,2005,"CECA, REPUBBLICA",1137.70833333
200503,PRIMAVERA,2005,CINA REP.POP.,3517.99666667
200503,PRIMAVERA,2005,DANIMARCA,1144.39476596
200503,PRIMAVERA,2005,FINLANDIA,1699.89119048
200503,PRIMAVERA,2005,FRANCIA,831.530752688
200503,PRIMAVERA,2005,GERMANIA,1110.93073672
200503,PRIMAVERA,2005,GIAPPONE,1742.81573737
200503,PRIMAVERA,2005,GRECIA,1416.59448718
200503,PRIMAVERA,2005,INDIA,1864.41225
200503,PRIMAVERA,2005,IRLANDA,1443.42416667
200503,PRIMAVERA,2005,MESSICO,2000.5685
200503,PRIMAVERA,2005,NORVEGIA,1677.43527778
200503,PRIMAVERA,2005,OLANDA,1089.32703947
200503,PRIMAVERA,2005,POLONIA,1558.11957303
200503,PRIMAVERA,2005,PORTOGALLO,1330.26666667
200503,PRIMAVERA,2005,REGNO UNITO,1051.59148977
200503,PRIMAVERA,2005,ROMANIA,1600.17078652
200503,PRIMAVERA,2005,RUSSIA,1567.04408511
200503,PRIMAVERA,2005,"SLOVACCA, REPUBBLICA",1873.14
200503,PRIMAVERA,2005,SLOVENIA,171.862944444
200503,PRIMAVERA,2005,SPAGNA,1317.80173037
200503,PRIMAVERA,2005,STATI UNITI D'AMERICA,2758.10109562
200503,PRIMAVERA,2005,SVEZIA,1418.88552174
200503,PRIMAVERA,2005,SVIZZERA,431.897998168
200503,PRIMAVERA,2005,UNGHERIA,933.721153846
200504,PRIMAVERA,2005,ARGENTINA,2379.65665
200504,PRIMAVERA,2005,AUSTRALIA,2668.03002186
200504,PRIMAVERA,2005,AUSTRIA,818.574903846
200504,PRIMAVERA,2005,BELGIO,1206.73117647
200504,PRIMAVERA,2005,BRASILE,2778.23882857
200504,PRIMAVERA,2005,CANADA,2114.75556977
200504,PRIMAVERA,2005,"CECA, REPUBBLICA",705.666666667
200504,PRIMAVERA,2005,CINA REP.POP.,2650.93142857
200504,PRIMAVERA,2005,DANIMARCA,1015.32525
200504,PRIMAVERA,2005,FINLANDIA,1672.36177778
200504,PRIMAVERA,2005,FRANCIA,982.41182153
200504,PRIMAVERA,2005,GERMANIA,1050.98759863
200504,PRIMAVERA,2005,GIAPPONE,2381.68268254
200504,PRIMAVERA,2005,GRECIA,1181.53744444
200504,PRIMAVERA,2005,INDIA,1766.80807143
200504,PRIMAVERA,2005,IRLANDA,1228.62067568
200504,PRIMAVERA,2005,MESSICO,2367.19540541
200504,PRIMAVERA,2005,NORVEGIA,1886.53083333
200504,PRIMAVERA,2005,OLANDA,1275.07457895
200504,PRIMAVERA,2005,POLONIA,1423.83720354
200504,PRIMAVERA,2005,PORTOGALLO,1312.15148936
200504,PRIMAVERA,2005,REGNO UNITO,1178.02843209
200504,PRIMAVERA,2005,ROMANIA,1662.28895349
200504,PRIMAVERA,2005,RUSSIA,2013.93061538
200504,PRIMAVERA,2005,"SLOVACCA, REPUBBLICA",1504.88526316
200504,PRIMAVERA,2005,SLOVENIA,171.408684211
200504,PRIMAVERA,2005,SPAGNA,1466.49844321
200504,PRIMAVERA,2005,STATI UNITI D'AMERICA,2860.57521496
200504,PRIMAVERA,2005,SVEZIA,1545.58934211
200504,PRIMAVERA,2005,SVIZZERA,479.719507965
