STATO_RESIDENZA,somma
ABU DHABI,45
AFGHANISTAN,103
ALAND ISOLE,3
ALBANIA,5246
ALGERIA,1098
AMERICAN SAMOA,106
ANDORRA,158
ANGOLA,181
ANGUILLA,3
ANTIGUA E BARBUDA,7
ANTILLE OLANDESI,22
ARABIA SAUDITA,2429
ARGENTINA,16314
ARMENIA,322
ARUBA,6
ASCENSION,1
AUSTRALIA,61029
AUSTRIA,67727
AZERBAIGIAN,212
"AZZORRE, ISOLE",1
BAHAMA,70
BAHRAIN,235
BANGLADESH,688
BARBADOS,17
BELGIO,48569
BELIZE,16
BENIN,39
BERMUDA,76
BHUTAN,93
BIELORUSSIA,1273
BOLIVIA,532
BOSNIA ERZEGOVINA,1816
BOTSWANA,18
BRASILE,26462
BRUNEI,19
BULGARIA,5086
BURKINA FASO,65
BURUNDI,29
CAMERUN,121
CANADA,50365
"CANARIE, ISOLE",31
CAPO VERDE,38
CAYMAN ISLANDS,24
"CECA, REPUBBLICA",21063
CENTROAFRICANA REPUBBLICA,31
CHAFARINAS,12
CIAD,33
CILE,4193
CINA REP.POP.,14839
CIPRO,1032
COLOMBIA,2561
"COMORE, ISOLE",8
CONGO,51
"COOK, ISOLE",3
COREA DEL NORD,132
COREA DEL SUD,5301
COSTA D'AVORIO,158
COSTARICA,782
CROAZIA,9561
CUBA,755
CURACAO,3
DANIMARCA,25230
DOMINICA,3
"DOMINICANA, REPUBBLICA",673
DUBAI,3845
EAST TIMOR,16
ECUADOR,1006
EGITTO,2569
ERITREA,132
ESTONIA,1681
ETIOPIA,133
"FAR OER, ISOLE",11
"FIJI,  ISOLE",7
FILIPPINE,1263
FINLANDIA,11902
FRANCIA,191266
GABON,49
GAMBIA,26
GEORGIA,386
GERMANIA,298508
GHANA,475
GIAMAICA,42
GIAPPONE,28134
GIBILTERRA,20
GIBUTI,6
GIORDANIA,683
GRECIA,16485
GROENLANDIA,33
GUADALUPA,11
GUAM,3
GUATEMALA,382
GUAYANA FRANCESE,5
GUERNSEY,16
GUINEA,27
GUINEA BISSAU,21
GUINEA EQUATORIALE,36
GUYANA,7
HAITI,34
HONDURAS,224
HONG KONG,1813
INDIA,11358
INDONESIA,1106
IRAN,2170
IRAQ,184
IRLANDA,26524
ISLANDA,870
ISRAELE,5758
JERSEY,6
KAMPUCHEA,50
KAZAKISTAN,481
KENYA,455
KIRGHIZISTAN,64
KIRIBATI,4
KOSOVO,98
KUWAIT,1105
LAOS,5
LESOTHO,3
LETTONIA,1937
LIBANO,1361
LIBERIA,23
LIBIA,1029
LIECHTENSTEIN,247
LITUANIA,3269
LUSSEMBURGO,4478
MACAO,47
MACEDONIA,1026
MADAGASCAR,74
MALAWI,34
MALAYSIA,1309
MALDIVE,29
MALI,60
MALTA,5867
"MAN, ISOLA",52
MAROCCO,2179
MARTINICA,9
MAURITANIA,35
"MAURIZIO, ISOLA",240
MESSICO,10189
"MICRONESIA, STATI FEDERATI",3
"MIDWAY, ISLANDS",1
MOLDAVIA,1560
MONGOLIA,50
MONTENEGRO,359
MOZAMBICO,113
MYANMAR,14
NAMIBIA,37
NAURU,3
NEPAL,60
NICARAGUA,130
NIGER,21
NIGERIA,957
NORFOLK ISLAND,16
NORVEGIA,17088
NUOVA CALEDONIA,68
NUOVA ZELANDA,8320
OLANDA,85297
OMAN,222
PAKISTAN,1481
"PALESTINA, TERRITORI AUTONOMI DI",165
PANAMA,322
PANAMA - ZONA DEL CANALE,2
"PAPUA - NUOVA  GUINEA, STATO INDIPENDENTE",8
PARAGUAY,396
PERU',1623
POLINESIA FRANCESE,80
POLONIA,34619
PORTOGALLO,11177
PORTORICO,456
PRINCIPATO DI MONACO,1852
QATAR,583
RAS AL KHAIMAH,9
REGNO UNITO,253199
REUNION,21
ROMANIA,21775
RUSSIA,32984
RWANDA,38
SAINT MARTIN (FRENCH PART),8
SALVADOR,259
SAMOA,9
SAN MARINO,156
SANT'ELENA,12
SAO TOME E PRINCIPE,3
SENEGAL,587
SERBIA,2937
SERBIA AND MONTENEGRO,345
SEYCHELLES,70
SIERRA LEONE,20
SINGAPORE,2195
SIRIA,329
"SLOVACCA, REPUBBLICA",10957
SLOVENIA,27921
"SOMALIA, REPUBBLICA FEDERALE",33
SOUTH GEORGIA E SOUTH SANDWICH,5
SPAGNA,136614
SRI LANKA,570
ST. VINCENT E GRENADINE,3
STATI UNITI D'AMERICA,261800
SUDAFRICANA REP.,5603
SUDAN,145
SURINAME,16
SVEZIA,29574
SVIZZERA,117290
SWAZILAND,11
TAGIKISTAN,5
TAIWAN,1238
TANZANIA,89
TERRITORIO BRITANNICO OCEANO INDIANO,6
THAILANDIA,1652
TOGO,41
TONGA,2
TRINIDAD E TOBAGO,98
TUNISIA,1887
TURCHIA,8043
TURKMENISTAN,13
TURKS E CAICOS,2
UCRAINA,3861
UGANDA,110
UNGHERIA,16767
URUGUAY,1029
UZBEKISTAN,106
VANUATU,3
VENEZUELA,4763
"VERGINI AMERICANE, ISOLE",2
"VERGINI BRITANNICHE, ISOLE",9
VIET NAM,219
YEMEN,88
ZAIRE,69
ZAMBIA,55
ZIMBABWE,78
